date,value
1989-01-01,6.2
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,7.2
1994-01-01,
1995-01-01,6.7
1996-01-01,
1997-01-01,7.4
1998-01-01,6.9
1999-01-01,6.5
2000-01-01,6.1
2001-01-01,5.5
2002-01-01,5.9
2003-01-01,6.9
2004-01-01,7.2
2005-01-01,5.7
2006-01-01,6.2
2007-01-01,5.9
2008-01-01,6.2
2009-01-01,6.4
2010-01-01,6.2
2011-01-01,7.7
2012-01-01,8.6
2013-01-01,8.0
2014-01-01,7.2
2015-01-01,7.1
2016-01-01,7.4
2017-01-01,7.5
2018-01-01,6.6
2019-01-01,6.4
2020-01-01,7.4
2021-01-01,6.7
2022-01-01,8.0
2023-01-01,7.8
