date,value
1989-01-01,2.6
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,3.8
1994-01-01,
1995-01-01,3.7
1996-01-01,
1997-01-01,4.4
1998-01-01,3.9
1999-01-01,3.9
2000-01-01,3.8
2001-01-01,3.7
2002-01-01,3.9
2003-01-01,4.7
2004-01-01,4.8
2005-01-01,3.9
2006-01-01,4.3
2007-01-01,4.5
2008-01-01,4.3
2009-01-01,4.5
2010-01-01,5.2
2011-01-01,6.0
2012-01-01,5.3
2013-01-01,5.3
2014-01-01,6.1
2015-01-01,5.2
2016-01-01,5.2
2017-01-01,5.9
2018-01-01,5.2
2019-01-01,5.0
2020-01-01,5.5
2021-01-01,6.2
2022-01-01,5.7
2023-01-01,5.6
